id,award_id,base_date,start_date,end_date,amount,outlays,recipient,recipient_uei,award_type,assistance_listing,awarding_agency,awarding_subagency,funding_agency,funding_subagency,description,last_modified
ASST_NON_SIV10018GR0014_019,SIV10018GR0014,2018-09-10,2018-09-30,2019-09-30,24567.0,0.0,MISCELLANEOUS FOREIGN AWARDEES,LN9PU5M2YZN5,PROJECT GRANT (B),19.040,Department of State,Department of State,,,THE GRANT WOULD PROVIDE FUNDING FOR THE SEPHIS ORGANIZATION TO CONDUCT A TOUR OF COTE DIVOIRE CONDUCTING WOMEN S EMPOWERMENT ACTIVITIES.,2018-09-21 18:51:56.077952+00
ASST_NON_SJO10018GR070_019,SJO10018GR070,2018-09-10,2018-09-10,2018-09-17,13023.0,0.0,MISCELLANEOUS FOREIGN AWARDEES,LN9PU5M2YZN5,PROJECT GRANT (B),19.021,Department of State,Department of State,,,"THE PURPOSE OF THIS GRANT IS TO SUPPORT HCC HOSTING AND ORGANIZING THE ""SCIENCE WEEKEND"" FROM SEPTEMBER 13 - 15, 2018. DURING WHICH CHILDREN AND FAMI",2018-10-05 22:46:46.385261+00
ASST_NON_SKE50018IN0055_019,SKE50018IN0055,2018-09-10,2018-09-10,2018-09-30,4140.0,0.0,REDACTED DUE TO PII,,PROJECT GRANT (B),19.040,Department of State,Department of State,,,DESCRIPTION MASKED FOR PII PURPOSES,2018-09-21 18:51:39.416296+00
ASST_NON_SKG10018CA0009_019,SKG10018CA0009,2018-09-10,2018-09-17,2019-10-31,44876.33,0.0,"YA INVESTIRUYU V KYRGYZSTAN, OO",LALFGJCJ8D18,COOPERATIVE AGREEMENT (B),19.900,Department of State,Department of State,Department of State,Department of State,TO TRAIN AND EMPOWER YOUNG ENTREPRENEURS TO INCREASE ECONOMIC DEVELOPMENT IN THE REGIONS OF KYRGYZSTAN.,2019-08-23 22:56:55.318694+00
ASST_NON_SKG10018CA0012_019,SKG10018CA0012,2018-09-10,2018-09-17,2019-06-17,25873.71,0.0,"MUGALIM, OF",JMPXMPDN4LC4,COOPERATIVE AGREEMENT (B),19.900,Department of State,Department of State,Department of State,Department of State,TO ASSIST IN THE PREVENTION OF HUMAN TRAFFICKING THROUGH A PROGRAM OF CASCADE TRAININGS.,2019-08-26 20:10:01.524552+00
ASST_NON_SKG10018GR0031_019,SKG10018GR0031,2018-09-10,2018-09-17,2019-05-17,24000.0,0.0,PUBLIC ASSOCIATION PEACE INITIATIVES,MAJDYTMDGZD5,PROJECT GRANT (B),19.900,Department of State,Department of State,,,TO PROMOTE TOLERANCE AND INTER-ETHNIC DIALOGUE AMONG YOUNG PEOPLE IN FOUR MULTI-ETHNIC COMMUNITIES IN BATKEN.,2018-09-21 18:51:55.703635+00
ASST_NON_SKG10018IN0041_019,SKG10018IN0041,2018-09-10,2018-09-10,2018-12-28,4430.0,0.0,REDACTED DUE TO PII,,PROJECT GRANT (B),19.040,Department of State,Department of State,,,DESCRIPTION MASKED FOR PII PURPOSES,2018-09-21 18:51:39.39658+00
ASST_NON_SLG75018GR0031_019,SLG75018GR0031,2018-09-10,2018-09-15,2019-02-28,6000.0,0.0,SABIEDRIBAS LIDZDALIBAS FONDS,GUM3NJ1M5FF4,PROJECT GRANT (B),19.040,Department of State,Department of State,,,TO SUPPORT COSTS FOR PROGRAMMING AND INTEGRATION OF CENTRALIZED AUTHENTICATION SERVER IN INITIATIVE PLATFORM MANABALSS.LV.,2018-09-21 18:51:55.291955+00
ASST_NON_SLG75018GR0032_019,SLG75018GR0032,2018-09-10,2018-09-17,2018-12-30,3500.0,0.0,MISCELLANEOUS FOREIGN AWARDEES,LN9PU5M2YZN5,PROJECT GRANT (B),19.040,Department of State,Department of State,,,THIS GRANT IS TO SUPPORT FEES FOR US PARTICIPANTS (7) TO PERFORM AND DO WORKSHOPS AT THE SOUND FOREST FESTIVAL FOR ADVENTUROUS MUSIC AND RELATED ARTS,2018-09-21 18:51:55.288087+00
ASST_NON_SLG75018GR0033_019,SLG75018GR0033,2018-09-10,2018-09-20,2018-12-31,4000.0,0.0,MISCELLANEOUS FOREIGN AWARDEES,LN9PU5M2YZN5,PROJECT GRANT (B),19.040,Department of State,Department of State,,,"THIS GRANT SUPPORT COSTS RELATED TO TEDXRIGA CONFERENCE ON NOVEMBER 16TH, 2018 FOR VIDEO POST-PRODUCTION WORKS AND FOR 2 U.S. SPEAKERS.",2018-09-21 18:51:55.284322+00
